SR.NO,Country,Active military,Reserve military,Paramilitary_x,Total_x,"Per 1,000 capita(active)","Per 1,000 capita(total)",Code,Type,Indicator Name,1960_x,1961_x,1962_x,1963_x,1964_x,1965_x,1966_x,1967_x,1968_x,1969_x,1970_x,1971_x,1972_x,1973_x,1974_x,1975_x,1976_x,1977_x,1978_x,1979_x,1980_x,1981_x,1982_x,1983_x,1984_x,1985_x,1986_x,1987_x,1988_x,1989_x,1990_x,1991_x,1992_x,1993_x,1994_x,1995_x,1996_x,1997_x,1998_x,1999_x,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960_y,1961_y,1962_y,1963_y,1964_y,1965_y,1966_y,1967_y,1968_y,1969_y,1970_y,1971_y,1972_y,1973_y,1974_y,1975_y,1976_y,1977_y,1978_y,1979_y,1980_y,1981_y,1982_y,1983_y,1984_y,1985_y,1986_y,1987_y,1988_y,1989_y,1990_y,1991_y,1992_y,1993_y,1994_y,1995_y,1996_y,1997_y,1998_y,1999_y,2000_y,2001_y,2002_y,2003_y,2004_y,2005_y,2006_y,2007_y,2008_y,2009_y,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019,2020,Total_y,country_code,Active Personnel,Aircraft Carriers,Armored Vehicles,Attack Helicopters,Available Manpower,Coastline Coverage,Corvettes,Dedicated Attack,Defense Budget,Destroyers,External Debt,Fighters/Interceptors,Fit-for-Service,Foreign Exchange/Gold,Frigates,Helicopter Carriers,Helicopters,Labor Force,Merchant Marine Fleet,Mine Warfare,Navy Ships,Oil Consumption,Oil Production,Oil Proven Reserves,Paramilitary_y,Patrol Vessels,Ports / Trade Terminals,Purchasing Power Parity,Railway Coverage,Reaching Mil Age Annually,Reserve Personnel,Roadway Coverage,Rocket Projectors,Self-Propelled Artillery,Shared Borders,Special-Mission,Square Land Area,Submarines,Tanker Fleet,Tanks,Total Aircraft Strength,Total Population,Towed Artillery,Trainers,Transports,Waterways (usable)
5.0,Antigua and Barbuda,180.0,80.0,0.0,260.0,1.9,2.7,ATG,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arab World,,,,,,,ARB,Regions Clubbed Geographically,Military expenditure (current USD),,,833229524.1,916446054.5,1225338998.0,1416443189.0,1548666185.0,1684446592.0,2031297443.0,2520054562.0,2980085336.0,3346818699.0,3722311542.0,5149216359.0,5939677298.0,6542589258.0,7664547685.0,21087366664.0,23611330024.0,28041477384.0,34463402591.0,39939322642.0,40382443515.0,34868573704.0,36994839308.0,32977558769.0,14390091251.0,29739839768.0,28872826806.0,24604659766.0,36512289679.0,41035099161.0,32810749318.0,29606345067.0,29413366450.0,26684323434.0,26486123009.0,35484055036.0,39322695875.0,36889627319.0,40740633349.0,42770280444.0,40851036167.0,42622220140.0,48508764668.0,54649194506.0,61282170542.0,73572238704.0,86261643586.0,91504042712.0,97976367584.0,108000000000.0,122000000000.0,143000000000.0,155000000000.0,138000000000.0,112000000000.0,119000000000.0,113000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Argentina,72100.0,0.0,31250.0,103350.0,1.6,2.3,ARG,Country,Military expenditure (current USD),,,305162407.2,242219771.2,245740498.0,252407602.9,279225436.3,251930719.1,337142857.1,442857142.9,445713893.9,519719484.2,766000000.0,1294000000.0,1626000000.0,798359535.2,2050248959.0,2058223942.0,3103989947.0,5057062803.0,6477389013.0,5882767126.0,2279872697.0,2848053181.0,2527749815.0,2027221261.0,2449545721.0,2485659656.0,2696341658.0,1440922190.0,2050907629.0,2858778842.0,3254455192.0,3368550452.0,3754724687.0,3801950488.0,3379138770.0,3340670335.0,3398699350.0,3461730865.0,3266633317.0,3183591796.0,1114172483.0,1374873734.0,1465809188.0,1699579152.0,1847553130.0,2296448242.0,2788980205.0,2981852290.0,3475348407.0,4051930105.0,4563217859.0,5137974301.0,4979442724.0,5482616701.0,4509647660.0,5459643672.0,4144991771.0,75.0,445.0,38.0,4.0,5.0,0.0,39.0,14.0,70.0,161.0,111.0,205.0,48.0,19.0,19.0,7.0,93.0,143.0,430.0,223.0,248.0,369.0,400.0,241.0,450.0,260.0,489.0,192.0,425.0,441.0,440.0,856.0,412.0,1316.0,730.0,497.0,226.0,226.0,74.0,14.0,169.0,,27.0,,209.0,43.0,28.0,105.0,171.0,275.0,213.0,6.0,14.0,11.0,168.0,3.0,9.0,24.0,21.0,15.0,11.0,15.0,5.0,13.0,6.0,21.0,17.0,45.0,18.0,50.0,7.0,12171.0,ARG,83000.0,0.0,800.0,0.0,20180574.0,4989.0,9.0,6.0,3064800000.0,4.0,278524000000.0,218.0,17153488.0,45000000000.0,0.0,0.0,85.0,18000000.0,202.0,0.0,47.0,806000.0,490000.0,2162000000.0,20000.0,13.0,10.0,900000000000.0,36917.0,687974.0,0.0,281290.0,26.0,75.0,11968.0,10.0,2780400.0,2.0,2.0,349.0,218.0,45864941.0,172.0,70.0,22.0,11000.0
,Armas (Guatemala)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Armenia,44800.0,210000.0,4300.0,259100.0,14.7,85.3,ARM,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9829763.866,,52228583.82,52410268.55,64062121.19,66757573.06,68234148.57,68052142.07,66247626.46,64106405.65,76587998.89,98070488.2,140738102.7,188189116.4,280108688.3,395994365.4,359499343.5,395011507.8,390871433.9,380571678.9,444551859.5,457807021.8,447379807.5,431396218.6,443610413.3,608854649.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,181.0,47.0,70.0,,,2.0,,,,,118.0,,,1.0,,46.0,52.0,5.0,,16.0,,,110.0,18.0,,248.0,,916.0,ARM,45000.0,0.0,673.0,20.0,1686501.0,0.0,0.0,10.0,632500000.0,0.0,11637000000.0,64.0,1382329.0,2200000000.0,0.0,0.0,36.0,1507000.0,0.0,0.0,0.0,8000.0,0.0,0.0,4300.0,0.0,0.0,40000000000.0,780.0,45174.0,210000.0,7700.0,94.0,38.0,1570.0,0.0,29743.0,0.0,0.0,288.0,64.0,3011609.0,145.0,10.0,2.0,0.0
,Aruba,,,,,,,ABW,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Australia,58600.0,30100.0,0.0,88700.0,2.5,3.8,AUS,Country,Military expenditure (current USD),459760073.6,470960075.4,489440078.3,553280088.5,655760104.9,787360126.0,986720157.9,1197840192.0,1321600211.0,1314880210.0,1277360204.0,1331754789.0,1484443745.0,1855729307.0,2127274763.0,2268707674.0,2441084025.0,2500485127.0,2816316206.0,3100685079.0,3657867290.0,4323644157.0,4459544582.0,4511671066.0,4925319433.0,4386859326.0,4606710028.0,5057135655.0,5836347868.0,6300015815.0,6704213698.0,7023509067.0,6882091580.0,6733829290.0,7459696582.0,7665878446.0,8202776517.0,7936884917.0,7107542891.0,7770250653.0,7273760313.0,7043145895.0,7946766202.0,9926649415.0,11995219710.0,13237798499.0,14239779513.0,17186440962.0,18633092318.0,18960138513.0,23217692816.0,26597198655.0,26216580848.0,24825262589.0,25783708714.0,24045569111.0,26382947050.0,27691112417.0,26711834225.0,468.0,371.0,410.0,153.0,125.0,637.0,451.0,445.0,534.0,412.0,113.0,40.0,571.0,384.0,548.0,920.0,714.0,778.0,460.0,828.0,240.0,319.0,60.0,704.0,885.0,96.0,81.0,268.0,1019.0,191.0,404.0,449.0,129.0,631.0,620.0,509.0,815.0,593.0,744.0,694.0,355.0,216.0,364.0,448.0,262.0,64.0,597.0,35.0,542.0,673.0,338.0,1236.0,663.0,801.0,472.0,461.0,728.0,679.0,444.0,778.0,1513.0,1557.0,867.0,245.0,906.0,1464.0,1026.0,1656.0,1557.0,1189.0,1657.0,42604.0,AUS,59000.0,0.0,1765.0,22.0,10840189.0,25760.0,0.0,37.0,44618000000.0,3.0,3115913000000.0,430.0,8878631.0,60000000000.0,8.0,2.0,133.0,12568000.0,581.0,4.0,43.0,1175000.0,285000.0,1821000000.0,0.0,12.0,29.0,1250900000000.0,33343.0,283910.0,20000.0,873573.0,0.0,0.0,0.0,31.0,7741220.0,6.0,6.0,59.0,430.0,25809973.0,54.0,113.0,38.0,2000.0
9.0,Austria,22050.0,125600.0,0.0,147650.0,2.5,16.8,AUT,Country,Military expenditure (current USD),91559097.96,91029854.62,100026991.4,125959915.1,164594679.0,142895702.0,167770139.0,176767275.8,182059709.2,193173819.4,199524739.5,209277606.7,249425547.4,328898821.4,422543505.8,546724394.0,581408727.3,686893244.3,877450655.2,1049972515.0,1152895906.0,969372327.1,995369996.9,991995097.5,949715291.7,1036872489.0,1475426089.0,1737112605.0,1713954577.0,1623488055.0,1972701682.0,1994055546.0,2139925322.0,2115115267.0,2227560550.0,2557834494.0,2457903049.0,2164802343.0,2159796003.0,2124379546.0,1925557398.0,1788798311.0,1881746741.0,2381962769.0,2679282065.0,2686166244.0,2640185362.0,3499817967.0,3746731607.0,3334754940.0,3218351224.0,3409721209.0,3187227449.0,3229065841.0,3305159256.0,2665409782.0,2885947386.0,3138359204.0,3367460383.0,,,,2.0,,11.0,98.0,146.0,11.0,24.0,16.0,27.0,56.0,201.0,73.0,78.0,61.0,47.0,1.0,12.0,99.0,123.0,93.0,22.0,22.0,6.0,12.0,,8.0,72.0,195.0,73.0,97.0,145.0,14.0,29.0,19.0,7.0,117.0,84.0,5.0,6.0,5.0,9.0,40.0,24.0,10.0,182.0,228.0,48.0,25.0,15.0,83.0,43.0,57.0,25.0,4.0,269.0,190.0,286.0,7.0,8.0,8.0,6.0,2.0,1.0,13.0,8.0,5.0,15.0,13.0,3737.0,AST,23000.0,0.0,542.0,0.0,3998189.0,0.0,0.0,0.0,3432000000.0,0.0,688434000000.0,102.0,3598370.0,22000000000.0,0.0,0.0,63.0,3739000.0,0.0,0.0,0.0,268000.0,13000.0,41200000.0,0.0,0.0,4.0,465100000000.0,5800.0,97734.0,160000.0,137039.0,0.0,62.0,2524.0,0.0,83871.0,0.0,0.0,56.0,102.0,8884864.0,0.0,13.0,11.0,0.0
10.0,Azerbaijan,126950.0,330000.0,15000.0,471950.0,12.6,47.0,AZE,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11070110.7,77519379.84,43942747.06,66159968.91,71606841.24,92086691.97,107262858.6,120262174.0,119575651.7,131963660.1,139894091.9,176552162.3,228249631.6,304521477.7,717111853.6,946599792.1,1607799226.0,1472909977.0,1476608734.0,3080084996.0,3246122613.0,3367574161.0,3427179917.0,2943396693.0,1396969108.0,1528859592.0,1708941176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,25.0,,,,,,3.0,,89.0,,4.0,53.0,159.0,213.0,33.0,145.0,155.0,557.0,371.0,385.0,624.0,335.0,274.0,290.0,365.0,44.0,28.0,4202.0,AZR,65000.0,0.0,1762.0,17.0,5038319.0,713.0,0.0,11.0,1700000000.0,0.0,17410000000.0,149.0,3773598.0,6700000000.0,1.0,0.0,87.0,4939000.0,305.0,7.0,24.0,100000.0,800000.0,7000000000.0,15000.0,13.0,1.0,140000000000.0,2944.0,154234.0,300000.0,24981.0,291.0,167.0,2468.0,0.0,86600.0,4.0,0.0,510.0,149.0,10282283.0,319.0,32.0,2.0,0.0
11.0,Bahamas,1300.0,0.0,0.0,1300.0,3.9,3.9,BHS,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,33.0,,,,2.0,3.0,,,,,,,,,33.0,,,,,3.0,,,,1.0,,,,,30.0,16.0,20.0,12.0,,,,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
